month,class,geometry
Jan,background,"c(-70.202654586833, 40.6072366692925)"
Jan,background,"c(-67.8170051334337, 42.3347759286507)"
Jan,background,"c(-69.4622806185367, 42.0879846058852)"
Jan,background,"c(-67.8992689076888, 42.1702483801404)"
Jan,background,"c(-68.7219066502403, 41.5944019603543)"
Jan,background,"c(-70.8607647808742, 41.1830830890786)"
Jan,background,"c(-68.3105877789646, 42.3347759286507)"
Jan,background,"c(-67.981532681944, 43.4864687682228)"
Jan,background,"c(-69.7913357155573, 42.9106223484367)"
Jan,background,"c(-70.2849183610882, 42.1702483801404)"
Jan,background,"c(-68.8041704244955, 41.8411932831198)"
Jan,background,"c(-70.3671821353433, 40.854027992058)"
Jan,background,"c(-72.0124576204464, 39.3732800554653)"
Jan,background,"c(-67.5702138106682, 42.1702483801404)"
Jan,background,"c(-67.8170051334337, 42.5815672514161)"
Jan,background,"c(-67.4056862621579, 42.2525121543955)"
Jan,background,"c(-67.981532681944, 42.2525121543955)"
Jan,background,"c(-68.1460602304543, 43.6509963167331)"
Jan,background,"c(-66.2539934225858, 40.854027992058)"
Jan,background,"c(-65.1845643572688, 42.5815672514161)"
Jan,background,"c(-69.4622806185367, 41.5121381860992)"
Jan,background,"c(-72.0124576204464, 40.4427091207822)"
Jan,background,"c(-69.7090719413021, 42.8283585741816)"
Jan,background,"c(-67.8170051334337, 43.6509963167331)"
Jan,background,"c(-68.3928515532197, 41.9234570573749)"
Jan,background,"c(-68.9686979730058, 41.7589295088646)"
Jan,background,"c(-68.55737910173, 42.4170397029058)"
Jan,background,"c(-69.5445443927918, 41.5944019603543)"
Jan,background,"c(-68.1460602304543, 43.8977876394986)"
Jan,background,"c(-69.5445443927918, 41.2653468633337)"
Jan,background,"c(-69.2977530700264, 43.0751498969471)"
Jan,background,"c(-69.8735994898124, 42.0057208316301)"
Jan,background,"c(-68.4751153274749, 42.4170397029058)"
Jan,background,"c(-66.9943673908821, 42.2525121543955)"
Jan,background,"c(-67.5702138106682, 42.7460947999264)"
Jan,background,"c(-69.7913357155573, 41.9234570573749)"
Jan,background,"c(-69.2977530700264, 43.1574136712022)"
Jan,background,"c(-71.8479300719361, 40.2781815722719)"
Jan,background,"c(-68.9686979730058, 42.8283585741816)"
Jan,background,"c(-68.55737910173, 41.6766657346095)"
Jan,background,"c(-72.6705678144876, 39.0442249584447)"
Jan,background,"c(-69.626808167047, 42.1702483801404)"
Jan,background,"c(-70.0381270383227, 42.8283585741816)"
Jan,background,"c(-69.7913357155573, 41.5944019603543)"
Jan,background,"c(-65.266828131524, 43.0751498969471)"
Jan,background,"c(-69.4622806185367, 42.1702483801404)"
Jan,background,"c(-68.8041704244955, 42.0057208316301)"
Jan,background,"c(-69.9558632640676, 43.1574136712022)"
Jan,background,"c(-68.8864341987506, 42.2525121543955)"
Jan,background,"c(-68.55737910173, 43.3219412197125)"
Jan,background,"c(-67.5702138106682, 43.4042049939677)"
Jan,background,"c(-71.9301938461912, 40.7717642178028)"
Jan,background,"c(-70.2849183610882, 41.1830830890786)"
Jan,background,"c(-69.5445443927918, 42.7460947999264)"
Jan,background,"c(-72.7528315887427, 39.208752506955)"
Jan,background,"c(-66.5830485196064, 42.4170397029058)"
Jan,background,"c(-68.4751153274749, 42.1702483801404)"
Jan,background,"c(-69.3800168442815, 41.429874411844)"
Jan,background,"c(-68.1460602304543, 43.8155238652434)"
Jan,background,"c(-69.8735994898124, 42.7460947999264)"
Jan,background,"c(-69.9558632640676, 42.5815672514161)"
Jan,background,"c(-68.8041704244955, 40.6072366692925)"
Jan,background,"c(-69.626808167047, 43.3219412197125)"
Jan,background,"c(-70.3671821353433, 41.1008193148234)"
Jan,background,"c(-67.8170051334337, 43.9800514137537)"
Jan,background,"c(-67.981532681944, 42.9106223484367)"
Jan,background,"c(-68.7219066502403, 41.429874411844)"
Jan,background,"c(-70.1203908125779, 42.9928861226919)"
Jan,background,"c(-69.2977530700264, 41.0185555405683)"
Jan,background,"c(-70.202654586833, 41.1008193148234)"
Jan,background,"c(-68.3928515532197, 42.1702483801404)"
Jan,background,"c(-71.1898198778948, 40.6072366692925)"
Jan,background,"c(-68.1460602304543, 44.0623151880089)"
Jan,background,"c(-69.2154892957712, 42.1702483801404)"
Jan,background,"c(-71.9301938461912, 40.6895004435477)"
Jan,background,"c(-69.1332255215161, 43.0751498969471)"
Jan,background,"c(-68.2283240047094, 42.0879846058852)"
Jan,background,"c(-70.0381270383227, 42.0879846058852)"
Jan,background,"c(-71.6011387491706, 39.6200713782307)"
Jan,background,"c(-72.0124576204464, 40.7717642178028)"
Jan,background,"c(-70.2849183610882, 42.0057208316301)"
Jan,background,"c(-67.6524775849234, 42.2525121543955)"
Jan,background,"c(-69.9558632640676, 42.9928861226919)"
Jan,background,"c(-68.1460602304543, 40.7717642178028)"
Jan,background,"c(-69.7090719413021, 42.0057208316301)"
Jan,background,"c(-70.2849183610882, 42.0879846058852)"
Jan,background,"c(-70.1203908125779, 43.3219412197125)"
Jan,background,"c(-68.6396428759852, 42.2525121543955)"
Jan,background,"c(-69.3800168442815, 41.0185555405683)"
Jan,background,"c(-67.981532681944, 43.8977876394986)"
Jan,background,"c(-71.6834025234258, 39.784598926741)"
Jan,background,"c(-66.7475760681167, 42.1702483801404)"
Jan,background,"c(-68.55737910173, 41.7589295088646)"
Jan,background,"c(-67.5702138106682, 44.2268427365192)"
Jan,background,"c(-69.0509617472609, 41.7589295088646)"
Jan,background,"c(-66.912103616627, 42.1702483801404)"
Jan,background,"c(-71.6011387491706, 39.7023351524859)"
Jan,background,"c(-69.9558632640676, 42.6638310256713)"
Jan,background,"c(-69.0509617472609, 41.5121381860992)"
Jan,background,"c(-67.5702138106682, 42.499303477161)"
Jan,background,"c(-69.3800168442815, 41.8411932831198)"
Jan,background,"c(-70.4494459095985, 40.7717642178028)"
Jan,background,"c(-66.5830485196064, 44.7204253820501)"
Jan,background,"c(-68.55737910173, 42.0879846058852)"
Jan,background,"c(-68.55737910173, 42.499303477161)"
Jan,background,"c(-68.8041704244955, 41.5121381860992)"
Jan,background,"c(-70.3671821353433, 40.9362917663131)"
Jan,background,"c(-68.1460602304543, 43.4864687682228)"
Jan,background,"c(-69.5445443927918, 41.5121381860992)"
Jan,background,"c(-70.0381270383227, 43.1574136712022)"
Jan,background,"c(-72.2592489432118, 40.3604453465271)"
Jan,background,"c(-68.3105877789646, 43.3219412197125)"
Jan,background,"c(-68.6396428759852, 41.5121381860992)"
Jan,background,"c(-69.4622806185367, 41.429874411844)"
Jan,background,"c(-67.1588949393925, 42.2525121543955)"
Jan,background,"c(-68.8864341987506, 42.3347759286507)"
Jan,background,"c(-69.1332255215161, 42.7460947999264)"
Jan,background,"c(-73.5754693312942, 40.1959177980168)"
Jan,background,"c(-69.7913357155573, 42.7460947999264)"
Jan,background,"c(-66.6653122938615, 42.3347759286507)"
Jan,background,"c(-69.2977530700264, 41.2653468633337)"
Jan,background,"c(-69.0509617472609, 42.0057208316301)"
Jan,background,"c(-65.4313556800343, 42.8283585741816)"
Jan,background,"c(-69.2977530700264, 41.429874411844)"
Jan,background,"c(-71.5188749749155, 41.1008193148234)"
Jan,background,"c(-69.7090719413021, 41.9234570573749)"
Jan,background,"c(-70.3671821353433, 42.0879846058852)"
Jan,background,"c(-70.4494459095985, 42.6638310256713)"
Jan,background,"c(-69.5445443927918, 43.4864687682228)"
Jan,background,"c(-67.1588949393925, 43.9800514137537)"
Jan,background,"c(-72.9996229115082, 38.8796974099344)"
Jan,background,"c(-69.8735994898124, 41.8411932831198)"
Jan,background,"c(-68.0637964561991, 42.0879846058852)"
Jan,background,"c(-70.1203908125779, 42.0879846058852)"
Jan,background,"c(-69.626808167047, 40.6895004435477)"
Jan,background,"c(-69.3800168442815, 42.0057208316301)"
Jan,background,"c(-68.8864341987506, 41.2653468633337)"
Jan,background,"c(-69.9558632640676, 40.6072366692925)"
Jan,background,"c(-69.2977530700264, 41.9234570573749)"
Jan,background,"c(-69.0509617472609, 41.3476106375889)"
Jan,background,"c(-68.9686979730058, 42.2525121543955)"
Jan,background,"c(-69.5445443927918, 42.1702483801404)"
Jan,background,"c(-70.1203908125779, 40.6072366692925)"
Jan,background,"c(-73.2464142342736, 39.0442249584447)"
Jan,background,"c(-70.202654586833, 42.0057208316301)"
Jan,background,"c(-65.5958832285446, 42.0057208316301)"
Jan,background,"c(-67.981532681944, 43.9800514137537)"
Jan,background,"c(-68.7219066502403, 41.8411932831198)"
Jan,background,"c(-70.6962372323639, 41.2653468633337)"
Jan,background,"c(-72.0947213947015, 40.6072366692925)"
Jan,background,"c(-69.2154892957712, 42.5815672514161)"
Jan,background,"c(-69.1332255215161, 43.3219412197125)"
Jan,background,"c(-70.202654586833, 42.3347759286507)"
Jan,background,"c(-69.7913357155573, 41.7589295088646)"
Jan,background,"c(-69.2977530700264, 41.3476106375889)"
Jan,background,"c(-68.8041704244955, 42.499303477161)"
Jan,background,"c(-68.4751153274749, 42.499303477161)"
Jan,background,"c(-68.3928515532197, 40.5249728950374)"
Jan,background,"c(-66.5830485196064, 43.0751498969471)"
Jan,background,"c(-68.3928515532197, 43.4042049939677)"
Jan,background,"c(-66.6653122938615, 44.8849529305604)"
Jan,background,"c(-68.55737910173, 43.4042049939677)"
Jan,background,"c(-72.5060402659773, 40.6072366692925)"
Jan,background,"c(-69.2154892957712, 42.6638310256713)"
Jan,background,"c(-69.7913357155573, 41.6766657346095)"
Jan,background,"c(-68.7219066502403, 41.2653468633337)"
Jan,background,"c(-69.8735994898124, 42.0879846058852)"
Jan,background,"c(-69.2977530700264, 42.3347759286507)"
Jan,background,"c(-72.0124576204464, 39.5378076039756)"
Jan,background,"c(-72.341512717467, 39.7023351524859)"
Jan,background,"c(-66.9943673908821, 41.9234570573749)"
Jan,background,"c(-69.1332255215161, 43.1574136712022)"
Jan,background,"c(-67.981532681944, 42.499303477161)"
Jan,background,"c(-69.5445443927918, 42.8283585741816)"
Jan,background,"c(-66.1717296483306, 44.8026891563052)"
Jan,background,"c(-69.0509617472609, 42.0879846058852)"
Jan,background,"c(-69.3800168442815, 41.5944019603543)"
